gene,log2fc,pval,neg_log10_pval
'VBP1',1.4210622185587012,8.34810169306607e-40,39.07841226918152
'ADSL',1.4184985807186317,1.4657413698756725e-35,34.833942654213885
'MTHFD1',1.416918415778548,7.002338696992461e-29,28.154756886619058
'ABCC5',1.4163905689585001,1.5628649059902652e-38,37.80607856076433
'ACTR6',1.4144575671345194,6.034085528575876e-26,25.21938853832323
'HILPDA',1.4106132259599498,1.1859378001254307e-11,10.925938088181432
'WDR18',1.4067641379666926,5.140628536187299e-35,34.28898377728695
'AMZ2',1.4050985011963815,1.2800311382260577e-36,35.89277946551208
'DCTD',1.404726553997063,2.5954353514560903e-39,38.58578978429835
'EFTUD2',1.4046718454287632,1.9692188676558474e-39,38.70570601177823
'COQ5',1.4035197408331161,5.052433691026459e-19,18.296499377527706
'NDUFS1',1.4031143719083008,4.978118067110265e-36,35.30293480734848
'MRPS2',1.3993551359164862,3.87210151353609e-24,23.412053265467296
'DNAJC7',1.3992268800352594,1.8855018971300717e-40,39.7245730262853
'TBRG4',1.3989070906532053,7.393778801586451e-36,35.13113354628217
'ALG3',1.3980302733658794,3.370901226245587e-44,43.47225397293882
'CSTA',1.3965288982086042,7.216802853617066e-42,41.14165515846219
'ECM1',1.3963658666974108,1.9467432008959267e-21,20.71069133342572
'NUDT5',1.39622308152016,1.5491119358687397e-43,42.80991719981747
'APMAP',1.3962010475457485,4.5364789513566024e-48,47.34328109984917
'NELFCD',1.3961397831584792,2.0710065717723423e-43,42.683818522989725
'C20orf24',1.3960170708590725,2.9022794318003803e-32,31.537260775962128
'PSMD10',1.3959647188336184,5.092098607849693e-43,42.29310319487888
'NUDT14',1.3959366252116263,2.255509890502023e-28,27.64675526416324
'GPNMB',1.394978249550567,1.1714013091903356e-51,50.93129429492832
'DMKN',1.3934481667883536,3.395043630363261e-29,28.469154640145113
'MYD88',1.391061829864657,2.846023860228932e-24,23.54576146323897
'PRPF31',1.3908906822370903,7.579579481571113e-41,40.12035488854991
'CSNK2A1',1.3907990328428483,1.6262026612334705e-42,41.788825332560606
'FBL',1.3882661841772423,1.8799117635172314e-44,43.72586253452189
'C12orf75',1.387916896101357,4.540387144773172e-33,32.342907114616395
'MSH6',1.387716092325516,7.759061903826957e-34,33.11019078320303
'GGCT',1.3863406792480173,1.4367039571825396e-38,37.84263271203798
'AATF',1.3854722688046721,4.8019094927919453e-35,34.318586029858224
'ODC1',1.3847287679280353,3.18478811633313e-29,28.49691945594034
'POLR2B',1.3833965686734349,2.526239553729093e-40,39.59752546932709
'DFNA5',1.383070577791565,4.954146410499296e-23,22.305031162802187
'PTHLH',1.3807904450075614,1.3818295256698786e-34,33.85954553194558
'HDAC3',1.3802216044301838,6.935827397149023e-29,28.158901723115246
'EIF4E2',1.3781395363257087,1.8508522016658583e-42,41.73262826010378
'GPN3',1.3691789083779935,3.6449152752168887e-26,25.4383125622523
'MCM3',1.368946810033458,8.235105636159713e-26,25.084330825527985
'MTHFD2',1.3676749174075173,4.602677446771898e-27,26.336989459169775
'AKR1C1',1.3639400545546674,4.4651866589591877e-29,28.35016038150969
'GARS',1.3613335829711977,3.149075047949882e-41,40.50181698924528
'MRPL45',1.3610867622966099,2.4241161857863668e-29,28.61544656864905
'ATP5SL',1.3609709465401039,4.299695947971327e-25,24.366562254370887
'MT1F',1.3600657374924252,6.254150965744939e-21,20.203831639754636
'CAPG',1.3596642048122547,3.91562347201869e-51,50.40719907679908
'RAB25',1.3586624162489238,3.463520115088427e-25,24.460482285767423
'EXT2',1.3570429232774988,3.4932595930970584e-31,30.456769139624164
'ABHD3',1.348565500926543,1.299033267060732e-27,26.88637972689779
'TP53I13',1.348385477013306,6.336495020082882e-26,25.198150902111003
'EMG1',1.3482399558940124,3.675270980309249e-41,40.434710634562265
'C12orf10',1.3464623960866158,7.89787015106309e-21,20.102490010779313
'LY6D',1.3464484022059084,1.5110785710005726e-15,14.820712953222303
'TALDO1',1.3464426868590054,4.815698196073715e-62,61.31734073850416
'MRPL10',1.3442831266308495,1.721073049382274e-18,17.764200696046437
'DSG3',1.3436954601841629,1.2323807647423979e-64,63.90925508886161
'DDX39B',1.3435526992637632,4.2065875913840923e-54,53.3760700635869
'MRPL12',1.3433684444714773,1.8084812544366224e-38,37.74268598849867
'PYGL',1.3417845324041668,1.3192197373242776e-29,28.879682859677896
'DKC1',1.340618604167493,7.897842617585579e-45,44.102491524815115
'ANAPC7',1.340324922824559,6.276464203952051e-31,30.202284943708506
'ATXN7L3B',1.3378715985214447,3.8982264687681004e-39,38.40913293400257
'UNG',1.3360386925964851,5.670376424437095e-25,24.246388109779133
'PCNA',1.3350317302574581,4.09724393792815e-33,32.38750817865307
'AARSD1',1.3334685427883513,1.0174116846147191e-29,28.99250327895692
'S100A7',1.332362687944082,0.00010406819487527871,3.982681978468975
'FBXO7',1.3323144739417108,1.1959222830848992e-36,35.922297042023224
'PAICS',1.3301826854242482,5.767881961136596e-47,46.23898363597094
'PLAT',1.3294080964767818,3.6730528112419385e-20,19.434972827313278
'TRIAP1',1.3288423862541014,7.851334739347724e-27,26.105056506228212
'ACLY',1.327228018855954,3.7637372019349576e-39,38.42438070823467
'RCN2',1.3262332712264537,1.5775328791366087e-40,39.80202158036985
'TYMS',1.3245890427140226,5.51496745494403e-16,15.258457046085065
'MRPL47',1.3243412110053667,3.578612591348581e-35,34.446285314335974
'DTD1',1.32430984184638,3.2224384762048802e-27,26.49181536558039
'NOB1',1.3241346815960695,1.01963816327402e-34,33.9915539180153
'PLEK2',1.3228600210664636,6.23250266415572e-25,24.205337527179925
'TSKU',1.3217767924115387,2.0013344834911367e-34,33.6986803215613
'ARFGAP2',1.3198406278918078,1.760463520811879e-35,34.754372969670335
'METTL5',1.318910564664648,8.295848678332975e-34,33.08113917836014
'METAP1',1.318596967961368,4.111663781012296e-40,39.38598240569104
'NFYC',1.3174437193207007,1.3343792178937815e-26,25.874720730513545
'FNTA',1.317367220142506,5.260829424452268e-22,21.27894577940795
'TMEM165',1.3165984967692401,1.121775810775827e-42,41.95009392906161
'MCRS1',1.3146268306983513,4.5700628803367255e-28,27.34007782435129
'SNAI2',1.312985052104679,1.675247905433623e-36,35.775920916391115
'KRT6A',1.3127364271698616,4.918218726065897e-72,71.30819216095493
'C3orf37',1.3121256058304804,1.6639654126648422e-34,33.77885570523575
'MED10',1.311898970037669,2.879146511713009e-46,45.54073623452813
'CYFIP1',1.31112592315424,2.626382598837578e-38,37.58064200769794
'HMGA1',1.3096314322408698,5.087302192396677e-61,60.29351246394279
'NDUFS4',1.3088527457363546,6.190118601079843e-41,40.20830102992963
'C8orf33',1.3084892824291767,1.188648427474519e-38,37.92494657985224
'PEMT',1.3082426264633442,2.082307060027619e-24,23.68145522840723
